17.2099 	EXP 	slider_2: autoDraw = True
17.2271 	EXP 	slider_2: autoDraw = True
17.2439 	EXP 	slider_2: autoDraw = True
17.2599 	EXP 	slider_2: autoDraw = True
17.2766 	EXP 	slider_2: autoDraw = True
17.2959 	EXP 	slider_2: autoDraw = True
17.3105 	EXP 	slider_2: autoDraw = True
17.3271 	EXP 	slider_2: autoDraw = True
17.3442 	EXP 	slider_2: autoDraw = True
17.3602 	EXP 	slider_2: autoDraw = True
17.3770 	EXP 	slider_2: autoDraw = True
17.3930 	EXP 	slider_2: autoDraw = True
17.4105 	EXP 	slider_2: autoDraw = True
17.4269 	EXP 	slider_2: autoDraw = True
17.4441 	EXP 	slider_2: autoDraw = True
17.4605 	EXP 	slider_2: autoDraw = True
17.4776 	EXP 	slider_2: autoDraw = True
17.4934 	EXP 	slider_2: autoDraw = True
17.5112 	EXP 	slider_2: autoDraw = True
17.5327 	EXP 	slider_2: autoDraw = True
17.5466 	EXP 	slider_2: autoDraw = True
17.5603 	EXP 	slider_2: autoDraw = True
17.5770 	EXP 	slider_2: autoDraw = True
17.5933 	EXP 	slider_2: autoDraw = True
17.6106 	EXP 	slider_2: autoDraw = True
17.6263 	EXP 	slider_2: autoDraw = True
17.6443 	EXP 	slider_2: autoDraw = True
17.6609 	EXP 	slider_2: autoDraw = True
17.6780 	EXP 	slider_2: autoDraw = True
17.6945 	EXP 	slider_2: autoDraw = True
17.7109 	EXP 	slider_2: autoDraw = True
17.7267 	EXP 	slider_2: autoDraw = True
17.7455 	EXP 	slider_2: autoDraw = True
17.7609 	EXP 	slider_2: autoDraw = True
17.7778 	EXP 	slider_2: autoDraw = True
17.7943 	EXP 	slider_2: autoDraw = True
17.8114 	EXP 	slider_2: autoDraw = True
17.8276 	EXP 	slider_2: autoDraw = True
17.8431 	EXP 	slider_2: autoDraw = True
17.8614 	EXP 	slider_2: autoDraw = True
17.8783 	EXP 	slider_2: autoDraw = True
17.8948 	EXP 	slider_2: autoDraw = True
17.9105 	EXP 	slider_2: autoDraw = True
17.9305 	EXP 	slider_2: autoDraw = True
17.9449 	EXP 	slider_2: autoDraw = True
17.9614 	EXP 	slider_2: autoDraw = True
17.9780 	EXP 	slider_2: autoDraw = True
17.9950 	EXP 	slider_2: autoDraw = True
18.0116 	EXP 	slider_2: autoDraw = True
18.0274 	EXP 	slider_2: autoDraw = True
18.0447 	EXP 	slider_2: autoDraw = True
18.0614 	EXP 	slider_2: autoDraw = True
18.0786 	EXP 	slider_2: autoDraw = True
18.0952 	EXP 	slider_2: autoDraw = True
18.1122 	EXP 	slider_2: autoDraw = True
18.1276 	EXP 	slider_2: autoDraw = True
18.1449 	EXP 	slider_2: autoDraw = True
18.1655 	EXP 	slider_2: autoDraw = True
18.1792 	EXP 	slider_2: autoDraw = True
18.1949 	EXP 	slider_2: autoDraw = True
18.2119 	EXP 	slider_2: autoDraw = True
18.2286 	EXP 	slider_2: autoDraw = True
18.2443 	EXP 	slider_2: autoDraw = True
18.2613 	EXP 	slider_2: autoDraw = True
18.2788 	EXP 	slider_2: autoDraw = True
18.2949 	EXP 	slider_2: autoDraw = True
18.3126 	EXP 	slider_2: autoDraw = True
18.3289 	EXP 	slider_2: autoDraw = True
18.3451 	EXP 	slider_2: autoDraw = True
18.3621 	EXP 	slider_2: autoDraw = True
18.3789 	EXP 	slider_2: autoDraw = True
18.3951 	EXP 	slider_2: autoDraw = True
18.4123 	EXP 	slider_2: autoDraw = True
18.4287 	EXP 	slider_2: autoDraw = True
18.4455 	EXP 	slider_2: autoDraw = True
18.4618 	EXP 	slider_2: autoDraw = True
18.4789 	EXP 	slider_2: autoDraw = True
18.4959 	EXP 	slider_2: autoDraw = True
18.5130 	EXP 	slider_2: autoDraw = True
18.5288 	EXP 	slider_2: autoDraw = True
18.5458 	EXP 	slider_2: autoDraw = True
18.5624 	EXP 	slider_2: autoDraw = True
18.5791 	EXP 	slider_2: autoDraw = True
18.5950 	EXP 	slider_2: autoDraw = True
18.6124 	EXP 	slider_2: autoDraw = True
18.6292 	EXP 	slider_2: autoDraw = True
18.6451 	EXP 	slider_2: autoDraw = True
18.6629 	EXP 	slider_2: autoDraw = True
18.6786 	EXP 	slider_2: autoDraw = True
18.6957 	EXP 	slider_2: autoDraw = True
18.7130 	EXP 	slider_2: autoDraw = True
18.7298 	EXP 	slider_2: autoDraw = True
18.7471 	EXP 	slider_2: autoDraw = True
18.7632 	EXP 	slider_2: autoDraw = True
18.7798 	EXP 	slider_2: autoDraw = True
18.7962 	EXP 	slider_2: autoDraw = True
18.8132 	EXP 	slider_2: autoDraw = True
18.8300 	EXP 	slider_2: autoDraw = True
18.8468 	EXP 	slider_2: autoDraw = True
18.8631 	EXP 	slider_2: autoDraw = True
18.8801 	EXP 	slider_2: autoDraw = True
18.8957 	EXP 	slider_2: autoDraw = True
18.9125 	EXP 	slider_2: autoDraw = True
18.9294 	EXP 	slider_2: autoDraw = True
18.9462 	EXP 	slider_2: autoDraw = True
18.9633 	EXP 	slider_2: autoDraw = True
18.9800 	EXP 	slider_2: autoDraw = True
18.9965 	EXP 	slider_2: autoDraw = True
19.0133 	EXP 	slider_2: autoDraw = True
19.0300 	EXP 	slider_2: autoDraw = True
19.0464 	EXP 	slider_2: autoDraw = True
19.0637 	EXP 	slider_2: autoDraw = True
19.0801 	EXP 	slider_2: autoDraw = True
19.0963 	EXP 	slider_2: autoDraw = True
19.1133 	EXP 	slider_2: autoDraw = True
19.1308 	EXP 	slider_2: autoDraw = True
19.1473 	EXP 	slider_2: autoDraw = True
19.1757 	EXP 	slider_2: autoDraw = True
19.1896 	EXP 	slider_2: autoDraw = True
19.2032 	EXP 	slider_2: autoDraw = True
19.2164 	EXP 	slider_2: autoDraw = True
19.2299 	EXP 	slider_2: autoDraw = True
19.2480 	EXP 	slider_2: autoDraw = True
19.2645 	EXP 	slider_2: autoDraw = True
19.2813 	EXP 	slider_2: autoDraw = True
19.2970 	EXP 	slider_2: autoDraw = True
19.3138 	EXP 	slider_2: autoDraw = True
19.3306 	EXP 	slider_2: autoDraw = True
19.3476 	EXP 	slider_2: autoDraw = True
19.3731 	EXP 	slider_2: autoDraw = True
19.3924 	EXP 	slider_2: autoDraw = True
19.4065 	EXP 	slider_2: autoDraw = True
19.4217 	EXP 	slider_2: autoDraw = True
19.4345 	EXP 	slider_2: autoDraw = True
19.4475 	EXP 	slider_2: autoDraw = True
19.4637 	EXP 	slider_2: autoDraw = True
19.4812 	EXP 	slider_2: autoDraw = True
19.4979 	EXP 	slider_2: autoDraw = True
19.5132 	EXP 	slider_2: autoDraw = True
19.5309 	EXP 	slider_2: autoDraw = True
19.5477 	EXP 	slider_2: autoDraw = True
19.5636 	EXP 	slider_2: autoDraw = True
19.5811 	EXP 	slider_2: autoDraw = True
19.5972 	EXP 	slider_2: autoDraw = True
19.6152 	EXP 	slider_2: autoDraw = True
19.6305 	EXP 	slider_2: autoDraw = True
19.6481 	EXP 	slider_2: autoDraw = True
19.6642 	EXP 	slider_2: autoDraw = True
19.6815 	EXP 	slider_2: autoDraw = True
19.6974 	EXP 	slider_2: autoDraw = True
19.7150 	EXP 	slider_2: autoDraw = True
19.7312 	EXP 	slider_2: autoDraw = True
19.7472 	EXP 	slider_2: autoDraw = True
19.7645 	EXP 	slider_2: autoDraw = True
19.7907 	EXP 	slider_2: autoDraw = True
19.8062 	EXP 	slider_2: autoDraw = True
19.8190 	EXP 	slider_2: autoDraw = True
19.8319 	EXP 	slider_2: autoDraw = True
19.8476 	EXP 	slider_2: autoDraw = True
19.8641 	EXP 	slider_2: autoDraw = True
19.8810 	EXP 	slider_2: autoDraw = True
19.8977 	EXP 	slider_2: autoDraw = True
19.9148 	EXP 	slider_2: autoDraw = True
19.9306 	EXP 	slider_2: autoDraw = True
19.9498 	EXP 	slider_2: autoDraw = True
19.9654 	EXP 	slider_2: autoDraw = True
19.9822 	EXP 	slider_2: autoDraw = True
19.9981 	EXP 	slider_2: autoDraw = True
20.0156 	EXP 	slider_2: autoDraw = True
20.0310 	EXP 	slider_2: autoDraw = True
20.0485 	EXP 	slider_2: autoDraw = True
20.0652 	EXP 	slider_2: autoDraw = True
20.0819 	EXP 	slider_2: autoDraw = True
20.0987 	EXP 	slider_2: autoDraw = True
20.1157 	EXP 	slider_2: autoDraw = True
20.1322 	EXP 	slider_2: autoDraw = True
20.1489 	EXP 	slider_2: autoDraw = True
20.1653 	EXP 	slider_2: autoDraw = True
20.1834 	EXP 	slider_2: autoDraw = True
20.1987 	EXP 	slider_2: autoDraw = True
20.2159 	EXP 	slider_2: autoDraw = True
20.2335 	EXP 	slider_2: autoDraw = True
20.2483 	EXP 	slider_2: autoDraw = True
20.2656 	EXP 	slider_2: autoDraw = True
20.2823 	EXP 	slider_2: autoDraw = True
20.2988 	EXP 	slider_2: autoDraw = True
20.3152 	EXP 	slider_2: autoDraw = True
20.3320 	EXP 	slider_2: autoDraw = True
20.3489 	EXP 	slider_2: autoDraw = True
20.3660 	EXP 	slider_2: autoDraw = True
20.3829 	EXP 	slider_2: autoDraw = True
20.3988 	EXP 	slider_2: autoDraw = True
20.4160 	EXP 	slider_2: autoDraw = True
20.4322 	EXP 	slider_2: autoDraw = True
20.4490 	EXP 	slider_2: autoDraw = True
20.4661 	EXP 	slider_2: autoDraw = True
20.4826 	EXP 	slider_2: autoDraw = True
20.4990 	EXP 	slider_2: autoDraw = True
20.5155 	EXP 	slider_2: autoDraw = True
20.5337 	EXP 	slider_2: autoDraw = True
20.5495 	EXP 	slider_2: autoDraw = True
20.5658 	EXP 	slider_2: autoDraw = True
20.5831 	EXP 	slider_2: autoDraw = True
20.5987 	EXP 	slider_2: autoDraw = True
20.6156 	EXP 	slider_2: autoDraw = True
20.6324 	EXP 	slider_2: autoDraw = True
20.6497 	EXP 	slider_2: autoDraw = True
20.6668 	EXP 	slider_2: autoDraw = True
20.6833 	EXP 	slider_2: autoDraw = True
20.6998 	EXP 	slider_2: autoDraw = True
20.7165 	EXP 	slider_2: autoDraw = True
20.7330 	EXP 	slider_2: autoDraw = True
20.7502 	EXP 	slider_2: autoDraw = True
20.7667 	EXP 	slider_2: autoDraw = True
20.7838 	EXP 	slider_2: autoDraw = True
20.7994 	EXP 	slider_2: autoDraw = True
20.8173 	EXP 	slider_2: autoDraw = True
20.8329 	EXP 	slider_2: autoDraw = True
20.8507 	EXP 	slider_2: autoDraw = True
20.8674 	EXP 	slider_2: autoDraw = True
20.8837 	EXP 	slider_2: autoDraw = True
20.9000 	EXP 	slider_2: autoDraw = True
20.9166 	EXP 	slider_2: autoDraw = True
20.9325 	EXP 	slider_2: autoDraw = True
20.9506 	EXP 	slider_2: autoDraw = True
20.9663 	EXP 	slider_2: autoDraw = True
20.9833 	EXP 	slider_2: autoDraw = True
20.9998 	EXP 	slider_2: autoDraw = True
21.0172 	EXP 	slider_2: autoDraw = True
21.0343 	EXP 	slider_2: autoDraw = True
21.0507 	EXP 	slider_2: autoDraw = True
21.0673 	EXP 	slider_2: autoDraw = True
21.0845 	EXP 	slider_2: autoDraw = True
21.1006 	EXP 	slider_2: autoDraw = True
21.1175 	EXP 	slider_2: autoDraw = True
21.1332 	EXP 	slider_2: autoDraw = True
21.1507 	EXP 	slider_2: autoDraw = True
21.1679 	EXP 	slider_2: autoDraw = True
21.1841 	EXP 	slider_2: autoDraw = True
21.1999 	EXP 	slider_2: autoDraw = True
21.2164 	EXP 	slider_2: autoDraw = True
21.2334 	EXP 	slider_2: autoDraw = True
21.2499 	EXP 	slider_2: autoDraw = True
21.2668 	EXP 	slider_2: autoDraw = True
21.2845 	EXP 	slider_2: autoDraw = True
21.3012 	EXP 	slider_2: autoDraw = True
21.3229 	EXP 	slider_2: autoDraw = True
21.3429 	EXP 	slider_2: autoDraw = True
21.3594 	EXP 	slider_2: autoDraw = True
21.3717 	EXP 	slider_2: autoDraw = True
21.3850 	EXP 	slider_2: autoDraw = True
21.4006 	EXP 	slider_2: autoDraw = True
21.4180 	EXP 	slider_2: autoDraw = True
21.4346 	EXP 	slider_2: autoDraw = True
21.4513 	EXP 	slider_2: autoDraw = True
21.4680 	EXP 	slider_2: autoDraw = True
21.4847 	EXP 	slider_2: autoDraw = True
21.5014 	EXP 	slider_2: autoDraw = True
21.5185 	EXP 	slider_2: autoDraw = True
21.5358 	EXP 	slider_2: autoDraw = True
21.5526 	EXP 	slider_2: autoDraw = True
21.5679 	EXP 	slider_2: autoDraw = True
21.5850 	EXP 	slider_2: autoDraw = True
21.6019 	EXP 	slider_2: autoDraw = True
21.6186 	EXP 	slider_2: autoDraw = True
21.6349 	EXP 	slider_2: autoDraw = True
21.6522 	EXP 	slider_2: autoDraw = True
21.6687 	EXP 	slider_2: autoDraw = True
21.6845 	EXP 	slider_2: autoDraw = True
21.7019 	EXP 	slider_2: autoDraw = True
21.7189 	EXP 	slider_2: autoDraw = True
21.7356 	EXP 	slider_2: autoDraw = True
21.7525 	EXP 	slider_2: autoDraw = True
21.7682 	EXP 	slider_2: autoDraw = True
21.7851 	EXP 	slider_2: autoDraw = True
21.8023 	EXP 	slider_2: autoDraw = True
21.8190 	EXP 	slider_2: autoDraw = True
21.8365 	EXP 	slider_2: autoDraw = True
21.8517 	EXP 	slider_2: autoDraw = True
21.8679 	EXP 	slider_2: autoDraw = True
